,phigh_day_touch,plow_day_touch,phigh_night_touch,plow_night_touch,ret_distance_phigh_day_open,ret_distance_plow_day_open,ret_distance_phigh_night_open,ret_distance_plow_night_open
2017-12-11,0,0,1,0,0.0452777012701686,0.18943002915451893,-0.022171490203127836,0.15328480565371022
2017-12-12,0,1,0,1,-0.07055580995993134,0.014836240727349495,-0.05946536144578317,0.0023080246913579888
2017-12-13,0,1,0,0,-0.04432509663194103,0.013748031496062992,-0.03157720543988446,0.09727502563655012
2017-12-14,1,0,0,0,-0.013544169277755824,0.09050080518767069,-0.015022803283672805,0.048411003236246
2017-12-15,0,0,0,0,0.08674032040165464,0.14152450322663088,-0.006947918403646267,0.10927260253134696
2017-12-16,1,0,1,0,-0.001670289899481729,0.02982758620689655,-2.2322624426795806e-06,0.04240777055976126
2017-12-17,1,0,0,1,0.001241148224940845,0.0820664345997573,-0.021702456931472214,0.03026595744680851
2017-12-18,0,1,0,0,-0.022757943247436463,0.034443664633158774,-0.014832273150747453,0.12513344114320749
2017-12-19,0,1,0,0,-0.08595906463205041,-0.02616138737253063,-0.07385224274406332,0.07671779141104294
2017-12-20,0,1,0,0,-0.02728485503030491,0.06849894291754757,-0.0017691524151610182,0.1970095400760337
2017-12-21,0,1,0,1,-0.06735881056023509,0.0310931250000001,-0.04691123371558961,0.042157581776018416
2017-12-22,0,1,0,1,-0.19098524691596727,-0.04514334617030381,-0.14716160042396687,0.09745901639344262
2017-12-23,1,0,1,0,0.01099290780141844,0.3005200255451145,-0.02696245733788396,0.110202492211838
2017-12-24,0,0,0,0,-0.18269096989966552,-0.12221479885057468,-0.17994832214765097,0.04972250859106533
2017-12-25,1,0,0,0,0.0722440350805357,0.1754522028262677,-0.011140559440559404,0.13488410541547652
2017-12-26,0,0,1,0,0.0585773999521524,0.1486338923347883,-0.02280065146579803,0.12519765959042833
2017-12-27,0,1,0,1,-0.011352024922118426,0.058569632117732924,-0.038201484417855446,0.0404712211134126
2017-12-28,0,1,0,0,-0.13153793741699293,-0.02789970528480335,-0.11306231258388949,0.049731558935361166
2017-12-29,1,0,0,0,-0.013551904928346773,0.06983623957543589,-0.0580642146719178,0.037583823529411725
2017-12-30,0,0,0,1,-0.15639791849699258,-0.10195827338129491,-0.14367251121793,0.019168843892880524
2017-12-31,1,0,1,0,-0.011212121212121211,0.11080851063829787,-0.026770521556153105,0.07424045142461144
2018-01-01,0,1,0,1,-0.0640607084215,0.015449444709567097,-0.061515129888666906,0.01145438896465154
2018-01-02,1,0,1,0,0.0012648456057007774,0.05796392156862752,-0.02606209386281582,0.046471611370657334
2018-01-03,0,0,0,0,-0.06491683518068644,0.07413211624590492,-0.054780774989612945,0.02254416961130742
2018-01-04,0,1,0,0,-0.048316589557171226,-0.00014582249791163877,-0.05765903141361261,0.03455443438875003
2018-01-05,0,0,1,0,0.055092931849976684,0.11237455234263775,-0.031314984709480125,0.0847945205479452
2018-01-06,0,0,0,1,-0.05276335674515855,0.029518730158730164,-0.05596801162536163,0.003950190451188479
2018-01-07,0,1,0,1,-0.026146508067365473,0.03290007438538377,-0.03529985481064435,0.008413414634146315
2018-01-08,0,0,0,1,-0.07494455159112823,-0.016750800768737962,-0.06978666666666664,0.054808604219641295
2018-01-09,0,0,0,1,-0.052637773304302436,0.14345925694661255,-0.054838709677419356,0.03385030553275754
2018-01-10,0,1,0,0,-0.08250425705831607,-0.017834494916512268,-0.06893301759133964,0.047966272976572834
2018-01-11,0,1,0,0,-0.06327809911213994,0.022444444444444444,-0.07787460216932958,0.21078947368421053
2018-01-12,0,0,0,0,-0.026836805555555607,0.0738303118912863,-0.00682009216302461,0.12108399999999994
2018-01-13,1,0,1,0,0.016445057264420065,0.07994327635758586,-0.006884133317661201,0.05692153960029609
2018-01-14,0,0,0,1,-0.1164910836762689,-0.07481193233155076,-0.10221707406996987,0.023971383147853697
2018-01-15,0,0,1,0,0.05502081784386622,0.1289525188556153,-0.0007211130492589072,0.07927111704704742
2018-01-16,0,0,0,1,-0.17473556121793768,-0.13255007195550042,-0.1503957230841476,0.10725382454184598
2018-01-17,0,1,0,0,-0.16763402489626555,-0.04910788775123244,-0.1269810460201516,0.11012838959601552
2018-01-18,1,0,0,0,0.03023375451263536,0.2630079420752958,-0.039046807679550655,0.10278890389546144
2018-01-19,0,0,1,0,-0.01276606553213112,0.07092395297575306,-0.00991593784495208,0.12550386100386093
2018-01-20,0,0,1,0,0.05764730818143287,0.1337771516859039,-0.03062009480146082,0.11682632050134295
2018-01-21,0,0,0,1,-0.09000229025116425,-0.03916975656940194,-0.07810613636381213,0.05487256637168137
2018-01-22,0,1,0,1,-0.07423379819524199,0.02591727272727274,-0.053768336498593465,0.0291919744642043
2018-01-23,1,1,1,0,-0.09735091249887157,0.005890549972041474,-0.07258592471358422,0.030247751569659014
2018-01-24,1,0,1,0,-0.007060268444600365,0.1299457814666657,-0.006973153184769219,0.07795428571428575
2018-01-25,0,0,0,1,-0.043687038048551105,0.018681504831487162,-0.06181506776722155,0.003355096118969895
2018-01-26,1,1,0,0,-0.06529091706888984,-0.02732367689752059,-0.0852005496865069,0.0329604360328383
2018-01-27,1,0,1,0,-0.033687165540836915,0.045466150719867336,-0.033771929824561404,0.019819589609413237
2018-01-28,0,0,0,0,0.011415450643776805,0.07118090909090907,-0.0376519111401503,0.0335956140350877
2018-01-29,0,0,0,0,-0.06206427010711688,-0.03405338139375222,-0.06128356964136788,0.010382825159005514
2018-01-30,0,0,0,1,-0.04356030959213841,-0.020076750155701057,-0.03609991235758104,0.01364976958525349
2018-01-31,0,1,0,0,-0.05807441016333934,0.04848686868686873,-0.01758686483989912,0.0701051546391753
2018-02-01,0,0,0,1,-0.09129711246565031,-0.03914807302231237,-0.08330914368650218,0.01652360515021459
2018-02-02,0,1,0,0,-0.11460334029227554,-0.030726809195302407,-0.11275197410881367,0.05893618243150453
2018-02-03,1,0,1,0,-0.01842818662621016,0.07678976231401313,-0.007818426258894385,0.10309515129420352
2018-02-04,0,0,0,1,-0.07675279557395168,-0.02487122310179504,-0.06640371477369766,0.03883240289820647
2018-02-05,0,0,0,1,-0.13627767558791656,-0.031267339218158864,-0.09345645503894262,0.022909454061251687
2018-02-06,1,0,1,0,-0.13447730393583948,0.014199245283018825,-0.09066585464880231,0.11984313359477726
2018-02-07,0,0,1,0,0.06124021055334446,0.23189269746646796,-0.007087087087087087,0.15608229918559552
2018-02-09,1,0,1,0,-0.02772534214252006,0.04754035845938731,-0.002193938337256366,0.09426100534980904
2018-02-10,1,1,0,1,-0.0158216983291371,0.04556231003039514,-0.051405394792284904,0.02341425681304296
2018-02-11,0,0,0,0,-0.05909090909090909,0.019704433497536946,-0.03406439570695287,0.07163241455090452
2018-02-12,0,0,1,0,0.030685166777439946,0.07489694768868399,-0.008949396096742043,0.09316281971303815
2018-02-13,0,1,0,0,-0.03812030917441461,0.009962361797224269,-0.04475470018911996,0.028224164770686233
2018-02-14,0,0,1,0,0.04756676217765048,0.08012526589458761,-0.010713280658079832,0.08025292518614827
2018-02-15,0,0,1,0,0.02978297872340416,0.06297260198759118,-0.024705874055557835,0.0485123086971638
2018-02-16,0,0,0,0,-0.03615734624981655,0.026040624999999977,-0.04585518101162711,0.01903476101800122
2018-02-17,0,0,0,0,0.06439901477832509,0.1001680244399185,-0.0068266790219812645,0.08035743749793751
2018-02-18,1,1,0,0,-0.03023996308260264,0.0007133428445712401,-0.06800159659393291,0.04239583333333337
2018-02-19,1,0,1,0,0.0022556342580545502,0.04685205408141423,-0.011946903858199893,0.06126288055008948
